Unnamed: 0,fivedayoichange,fivedaypricechange,fivedayvolumechange,futuresPrice,ivchange,mediumtermoutlook,onedayoichange,onedaypricechange,onedayvolumechange,shorttermoutlook,ticker,volper
0,-4.63,0.99,76.99,19732.85,6.03,Short Covering,1.16,-0.05,-33.35,Short Buildup,NIFTY,9.13
1,-8.94,0.79,78.23,44357.85,12.34,Short Covering,-1.07,-0.08,-35.69,Long Unwinding,BANKNIFTY,5.95
2,5.49,3.37,115.43,490.1,4.1,Significant Long Buildup,0.8,0.81,80.55,Long Buildup,AARTIIND,72.62
3,-11.57,4.54,154.68,4285.95,5.33,Significant Short Covering,1.8,1.33,133.72,Long Buildup,ABB,28.57
4,11.43,-2.58,209.58,22394.8,11.16,Significant Short Buildup,-0.47,-0.12,192.74,Long Unwinding,ABBOTINDIA,59.13
5,3.44,3.05,70.77,180.8,13.85,Long Buildup,0.11,-0.14,-14.76,Short Buildup,ABCAPITAL,8.33
6,3.39,5.45,179.41,227.25,7.2,Long Buildup,1.1,1.97,221.59,Long Buildup,ABFRL,77.38
7,-0.16,3.06,41.37,2031.35,-2.25,Short Covering,0.01,0.92,-40.0,Long Buildup,ACC,11.31
8,3.83,-0.61,19.57,2437.95,12.67,Short Buildup,0.27,-0.94,-86.91,Short Buildup,ADANIENT,8.73
9,-0.69,1.86,48.26,806.2,10.08,Short Covering,0.96,-1.26,-46.64,Short Buildup,ADANIPORTS,34.52
10,-9.69,1.72,48.77,3618.0,12.8,Short Covering,-0.37,0.11,-66.69,Short Covering,ALKEM,13.49
11,-2.26,2.71,25.68,442.7,5.38,Short Covering,0.2,0.33,-50.14,Long Buildup,AMBUJACEM,8.73
12,11.57,-0.68,24.37,5021.65,2.84,Short Buildup,0.48,-0.27,-76.59,Short Buildup,APOLLOHOSP,17.46
13,19.04,1.94,66.64,379.05,5.48,Long Buildup,3.89,-0.32,3.11,Short Buildup,APOLLOTYRE,33.73
14,1.33,2.76,127.94,176.9,5.16,Long Buildup,1.99,0.26,12.46,Long Buildup,ASHOKLEY,45.63
15,7.23,-1.67,103.27,3113.1,9.32,Short Buildup,2.48,-1.43,0.3,Significant Short Buildup,ASIANPAINT,58.73
16,6.83,4.79,119.9,1955.2,13.74,Significant Long Buildup,2.03,0.79,104.94,Long Buildup,ASTRAL,55.56
17,23.79,-0.12,95.37,6863.0,31.23,Short Buildup,3.8,-0.54,36.8,Short Buildup,ATUL,73.81
18,1.54,-0.27,304.2,707.85,8.89,Short Buildup,3.61,-1.14,263.46,Significant Short Buildup,AUBANK,53.17
19,7.33,-0.41,104.12,911.3,7.94,Short Buildup,0.62,-1.11,62.07,Short Buildup,AUROPHARMA,22.62
20,0.31,0.69,54.36,1007.5,2.93,Long Buildup,-1.81,1.01,-71.39,Short Covering,AXISBANK,27.38
21,7.48,1.35,73.99,5095.0,18.7,Long Buildup,0.18,0.48,-33.54,Long Buildup,BAJAJ-AUTO,20.63
22,-8.54,1.44,423.27,1646.45,5.98,Short Covering,0.81,-0.05,340.57,Short Buildup,BAJAJFINSV,9.52
23,7.28,-0.12,75.99,8052.0,13.98,Short Buildup,0.63,-0.33,-10.27,Short Buildup,BAJFINANCE,22.22
24,-3.25,2.21,102.67,2593.95,18.01,Short Covering,-3.19,0.08,15.26,Short Covering,BALKRISIND,54.37
25,12.03,-0.94,14.01,422.5,3.51,Short Buildup,-0.72,1.26,259.62,Short Covering,BALRAMCHIN,9.52
26,-1.76,-0.83,110.85,244.65,4.62,Long Unwinding,-0.39,1.83,-47.14,Short Covering,BANDHANBNK,47.62
27,20.41,-3.06,30.47,206.0,4.49,Significant Short Buildup,-0.39,0.96,-73.98,Short Covering,BANKBARODA,21.83
28,11.76,0.7,67.43,1632.9,2.66,Long Buildup,1.02,0.88,-39.44,Long Buildup,BATAINDIA,19.44
29,7.92,0.92,85.94,137.55,15.44,Long Buildup,2.08,-0.25,22.13,Short Buildup,BEL,7.54
30,7.88,0.72,127.65,568.0,11.41,Long Buildup,3.49,0.16,12.33,Long Buildup,BERGEPAINT,61.11
31,-4.1,3.41,41.54,1124.2,3.72,Short Covering,0.07,0.38,-46.7,Long Buildup,BHARATFORG,9.52
32,14.05,2.44,38.37,948.35,5.84,Significant Long Buildup,1.98,-0.85,-58.65,Short Buildup,BHARTIARTL,35.71
33,2.95,3.11,9.77,130.95,17.41,Long Buildup,-2.3,1.99,-30.91,Short Covering,BHEL,13.49
34,19.69,-2.85,91.66,254.25,9.44,Significant Short Buildup,2.33,-0.41,-25.71,Short Buildup,BIOCON,24.21
35,20.76,7.26,54.91,20639.5,3.74,Significant Long Buildup,-2.97,1.01,-56.18,Short Covering,BOSCHLTD,44.25
36,1.64,1.85,94.81,347.55,8.93,Long Buildup,2.16,-0.13,19.99,Short Buildup,BPCL,40.08
37,11.75,0.92,98.09,4583.25,3.36,Long Buildup,3.54,0.18,-20.4,Long Buildup,BRITANNIA,44.44
38,-0.66,5.09,61.9,544.05,6.91,Short Covering,-1.51,0.02,-8.12,Short Covering,BSOFT,34.52
39,0.99,1.65,65.61,372.0,6.82,Long Buildup,-0.26,1.45,-53.36,Short Covering,CANBK,45.63
40,10.1,-1.41,92.38,740.8,15.17,Short Buildup,2.63,-0.95,-3.07,Short Buildup,CANFINHOME,26.59
41,32.76,8.04,204.86,296.2,14.94,Significant Long Buildup,4.72,1.37,128.08,Significant Long Buildup,CHAMBLFERT,98.81
42,-1.4,2.72,72.41,1250.2,6.74,Short Covering,2.42,-0.49,-5.84,Short Buildup,CHOLAFIN,26.98
43,0.08,0.17,53.68,1166.6,8.05,Long Buildup,-0.2,-0.17,-51.33,Long Unwinding,CIPLA,6.35
44,-1.01,8.27,73.33,312.1,8.42,Short Covering,4.43,1.3,0.02,Significant Long Buildup,COALINDIA,66.67
45,12.11,-1.84,61.96,5054.75,6.34,Short Buildup,1.16,0.85,-45.49,Long Buildup,COFORGE,68.65
