calliv,iv,ivchange,ivp,ivpq,ivr,liquidity,putiv,resultdate,spotprice,straddlepremium,ticker,tickerchange,tickerpercentchange
10.37,11.26,6.03,19.56,44.44,13.53,True,12.14,None,19732.85,1.36,NIFTY,-9.2,-0.05
13.3,14.02,12.34,47.98,91.27,21.3,True,14.75,None,44357.85,1.72,BANKNIFTY,-36.2,-0.08
31.83,30.49,4.1,40.73,36.51,55.1,True,29.14,None,490.1,3.81,AARTIIND,3.95,0.81
24.3,26.86,5.33,30.57,33.33,14.58,False,29.41,2023-11-09,4285.95,3.21,ABB,56.45,1.33
25.9,22.81,11.16,26.53,46.03,26.49,False,19.71,None,22394.8,2.74,ABBOTINDIA,-26.5,-0.12
30.74,30.34,13.85,30.44,43.65,26.93,False,29.95,2023-11-03,180.8,3.48,ABCAPITAL,-0.25,-0.14
29.02,28.88,7.2,7.72,11.11,7.63,False,28.75,None,227.25,3.63,ABFRL,4.4,1.97
23.83,24.37,-2.25,1.21,1.59,0.84,True,24.91,None,2031.35,2.76,ACC,18.5,0.92
50.62,52.01,12.67,43.55,50.79,10.93,True,53.4,None,2437.95,5.87,ADANIENT,-23.25,-0.94
36.56,35.49,10.08,42.74,63.49,8.05,True,34.42,None,806.2,4.31,ADANIPORTS,-10.3,-1.26
27.61,29.26,12.8,64.49,50.79,39.06,False,30.92,None,3618.0,0.0,ALKEM,4.1,0.11
27.06,27.44,5.38,4.03,12.7,4.16,True,27.82,None,442.7,3.42,AMBUJACEM,1.45,0.33
25.47,24.95,2.84,11.49,36.51,13.3,True,24.43,None,5021.65,3.11,APOLLOHOSP,-13.6,-0.27
31.05,30.43,5.48,55.44,57.14,29.08,False,29.8,None,379.05,3.89,APOLLOTYRE,-1.2,-0.32
26.67,25.26,5.16,17.14,11.11,13.34,True,23.86,None,176.9,3.17,ASHOKLEY,0.45,0.26
27.63,25.8,9.32,91.53,92.06,43.11,True,23.97,2023-10-26,3113.1,3.13,ASIANPAINT,-45.1,-1.43
34.79,35.26,13.74,74.19,74.6,58.77,True,35.74,2023-10-18,1955.2,4.6,ASTRAL,15.3,0.79
38.62,37.62,31.26,91.8,92.06,67.19,False,36.62,2023-10-20,6863.0,4.75,ATUL,-37.2,-0.54
33.07,32.71,8.89,67.74,87.3,42.31,True,32.35,None,707.85,4.26,AUBANK,-8.15,-1.14
30.28,29.62,7.94,33.87,36.51,15.17,True,28.96,None,911.3,3.71,AUROPHARMA,-10.25,-1.11
23.25,23.53,2.93,70.97,87.3,40.35,True,23.81,2023-10-25,1007.5,2.94,AXISBANK,10.05,1.01
26.82,27.86,18.7,99.6,100.0,91.91,True,28.91,2023-10-18,5095.0,3.42,BAJAJ-AUTO,24.1,0.48
