"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"AUROPHARMA","899.90","918.00","18.10","2.01","918.00","36,977","3,39,44,886.00","2,53,15,36,04,141.23","930.00","397.20"
"DIVISLAB","3,750.55","3,799.00","48.45","1.29","3,799.00","7,613","2,89,21,787.00","4,77,20,63,19,408.00","3,934.70","2,730.00"
"UBL","1,580.00","1,597.95","17.95","1.14","1,597.95","2,594","41,45,082.30","1,12,93,80,15,343.86","1,806.45","1,353.50"
"TVSMOTOR","1,550.25","1,566.00","15.75","1.02","1,566.00","6,151","96,32,466.00","3,60,82,86,63,083.00","1,570.10","967.55"
"SUNTV","622.50","628.00","5.50","0.88","628.00","2,936","18,43,808.00","51,46,70,57,287.38","638.55","393.80"
"CHAMBLFERT","284.50","287.00","2.50","0.88","287.00","8,312","23,85,544.00","44,95,66,91,133.78","332.45","248.40"
"AMBUJACEM","445.10","449.00","3.90","0.88","449.00","13,984","62,78,816.00","3,28,40,58,64,424.31","598.00","315.30"
"BANDHANBNK","248.75","250.90","2.15","0.86","250.90","11,548","28,97,393.20","1,84,14,18,38,170.08","275.25","182.15"
"PNB","76.05","76.70","0.65","0.85","76.70","1,65,341","1,26,81,654.70","2,26,24,33,36,670.23","83.50","35.45"
"INDUSINDBK","1,421.20","1,433.30","12.10","0.85","1,433.30","8,222","1,17,84,592.60","9,26,54,44,79,608.86","1,475.65","990.00"
"ZYDUSLIFE","599.85","604.90","5.05","0.84","604.90","3,477","21,03,237.30","1,52,08,36,71,884.75","668.75","390.00"
"NMDC","150.30","151.50","1.20","0.80","151.50","37,102","56,20,953.00","1,71,55,47,35,853.15","154.25","92.25"
"INDHOTEL","414.85","418.00","3.15","0.76","418.00","12,788","53,45,384.00","3,65,33,69,10,764.79","436.45","280.05"
"SRF","2,250.00","2,266.95","16.95","0.75","2,266.95","704","15,95,932.80","3,26,80,83,69,562.50","2,639.70","2,040.00"
"HINDCOPPER","153.85","155.00","1.15","0.75","155.00","27,211","42,17,705.00","50,68,26,95,912.22","174.75","93.85"
"DELTACORP","142.95","144.00","1.05","0.73","144.00","38,169","54,96,336.00","25,19,27,08,119.05","259.95","133.10"
"SAIL","88.60","89.25","0.65","0.73","89.25","25,262","22,54,633.50","1,28,15,98,73,404.45","103.65","73.75"
"ASIANPAINT","3,163.90","3,186.00","22.10","0.70","3,186.00","2,309","73,56,474.00","14,26,40,38,49,553.20","3,568.00","2,685.85"
"BPCL","342.55","344.90","2.35","0.69","344.90","7,693","26,53,315.70","3,26,62,00,47,158.59","397.90","288.05"
"NATIONALUM","95.80","96.45","0.65","0.68","96.45","27,632","26,65,106.40","86,17,01,71,866.57","106.35","68.05"
"ABFRL","222.10","223.60","1.50","0.68","223.60","3,314","7,41,010.40","73,78,11,54,200.78","359.50","184.40"
"JSWSTEEL","777.25","782.40","5.15","0.66","782.40","6,276","49,10,342.40","7,21,20,83,92,744.79","840.00","615.00"
"TATACHEM","1,036.10","1,042.95","6.85","0.66","1,042.95","2,016","21,02,587.20","1,60,99,57,77,444.88","1,214.90","876.80"
"GLENMARK","780.70","785.85","5.15","0.66","785.85","3,637","28,58,136.45","1,17,08,20,08,146.17","880.00","369.05"
"ABBOTINDIA","22,430.25","22,577.95","147.70","0.66","22,577.95","58","13,09,521.10","76,58,13,44,000.00","24,744.25","18,000.00"
"SHREECEM","26,501.35","26,675.00","173.65","0.66","26,675.00","32","8,53,600.00","3,54,70,62,25,513.20","27,117.95","20,150.00"
"HAVELLS","1,390.95","1,400.00","9.05","0.65","1,400.00","2,132","29,84,800.00","3,47,96,71,99,581.00","1,465.85","1,024.50"
"COLPAL","2,060.75","2,074.05","13.30","0.65","2,074.05","778","16,13,610.90","2,74,37,57,07,758.78","2,096.00","1,434.60"
"TATACOMM","1,833.40","1,844.95","11.55","0.63","1,844.95","1,030","19,00,298.50","2,14,18,60,50,000.00","1,957.35","1,137.10"
"CIPLA","1,171.95","1,179.05","7.10","0.61","1,179.05","7,212","85,03,308.60","6,14,51,59,36,197.74","1,277.90","852.00"
"BRITANNIA","4,554.95","4,582.00","27.05","0.59","4,582.00","1,342","61,49,044.00","5,38,13,71,07,849.88","5,270.35","3,690.00"
"MANAPPURAM","145.15","146.00","0.85","0.59","146.00","8,637","12,61,002.00","78,60,33,14,673.86","156.55","98.90"
"PVRINOX","1,696.20","1,706.00","9.80","0.58","1,706.00","886","15,11,516.00","1,18,05,67,89,555.48","1,925.45","1,336.40"
"TATAPOWER","253.95","255.40","1.45","0.57","255.40","23,991","61,27,301.40","3,56,97,05,52,832.65","276.50","182.35"
"IGL","460.40","463.00","2.60","0.56","463.00","297","1,37,511.00","1,62,05,01,85,200.00","515.70","364.25"
"PIIND","3,488.30","3,507.85","19.55","0.56","3,507.85","206","7,22,617.10","2,80,62,09,41,274.22","4,011.15","2,868.90"
"RAMCOCEM","983.40","988.90","5.50","0.56","988.90","2,423","23,96,104.70","1,25,55,63,19,036.80","994.80","634.05"
"HINDPETRO","254.10","255.50","1.40","0.55","255.50","22,512","57,51,816.00","1,62,33,15,79,860.08","309.90","200.05"
