Unnamed: 0,fivedayoichange,fivedaypricechange,fivedayvolumechange,futuresPrice,ivchange,mediumtermoutlook,onedayoichange,onedaypricechange,onedayvolumechange,shorttermoutlook,ticker,volper
0,-5.7,1.4,78.19,19842.05,2.37,Short Covering,2.14,-0.04,-12.03,Short Buildup,NIFTY,10.71
1,-14.41,0.75,50.03,44744.0,-0.85,Short Covering,-2.06,0.13,-52.86,Short Covering,BANKNIFTY,5.56
2,12.23,-0.22,88.04,487.25,2.85,Short Buildup,0.46,0.47,-51.64,Long Buildup,AARTIIND,61.9
3,-7.66,3.37,67.62,4225.5,-3.24,Significant Short Covering,1.01,0.83,0.36,Long Buildup,ABB,9.13
4,12.88,-2.21,134.18,22418.05,-1.41,Significant Short Buildup,3.02,-0.54,-15.54,Short Buildup,ABBOTINDIA,28.77
5,6.22,3.01,176.11,181.6,0.44,Significant Long Buildup,3.93,1.17,101.1,Significant Long Buildup,ABCAPITAL,50.79
6,2.31,2.84,59.57,224.15,0.34,Long Buildup,1.02,0.7,-59.1,Long Buildup,ABFRL,34.13
7,2.45,1.41,44.39,2034.9,-0.12,Long Buildup,-0.37,-0.54,-77.19,Long Unwinding,ACC,11.9
8,2.15,1.62,21.76,2519.0,2.4,Long Buildup,2.4,0.75,-79.16,Long Buildup,ADANIENT,9.92
9,0.73,-1.4,32.92,817.7,2.69,Short Buildup,-0.13,-0.02,-55.45,Long Unwinding,ADANIPORTS,11.9
10,-6.04,3.41,92.97,3593.05,-0.76,Significant Short Covering,0.12,1.04,-1.79,Long Buildup,ALKEM,40.48
11,-4.39,2.91,41.94,446.9,-3.05,Short Covering,-0.2,0.11,-72.01,Short Covering,AMBUJACEM,15.08
12,17.35,-1.24,277.54,5008.1,13.05,Short Buildup,13.44,-2.07,87.93,Significant Short Buildup,APOLLOHOSP,91.27
13,21.23,1.54,78.53,379.95,3.72,Long Buildup,9.57,0.53,-30.66,Long Buildup,APOLLOTYRE,49.6
14,1.21,1.36,83.29,175.45,3.71,Long Buildup,4.0,-0.57,-11.85,Short Buildup,ASHOKLEY,17.46
15,7.08,-1.33,74.46,3177.05,-1.52,Short Buildup,5.41,0.0,-2.78,Long Buildup,ASIANPAINT,45.24
16,3.61,3.73,85.34,1935.0,3.59,Long Buildup,3.29,-0.37,-56.38,Short Buildup,ASTRAL,33.73
17,28.99,-0.55,89.46,6923.05,1.57,Short Buildup,2.64,0.64,-45.52,Long Buildup,ATUL,65.48
18,-2.91,0.25,106.63,716.5,1.24,Short Covering,0.12,0.25,21.24,Long Buildup,AUBANK,7.14
19,18.2,4.29,305.3,919.0,-0.69,Significant Long Buildup,3.53,1.73,350.7,Significant Long Buildup,AUROPHARMA,71.43
20,-3.84,1.32,45.87,1020.5,1.85,Short Covering,0.28,-0.2,-36.96,Short Buildup,AXISBANK,14.29
21,3.12,2.27,133.87,5137.95,-1.88,Long Buildup,1.52,1.0,28.12,Long Buildup,BAJAJ-AUTO,60.32
22,-1.36,5.61,287.77,1636.05,4.34,Short Covering,-0.52,-0.28,529.3,Long Unwinding,BAJAJFINSV,15.08
23,10.7,2.17,65.55,8052.2,7.77,Significant Long Buildup,6.09,-1.03,16.98,Significant Short Buildup,BAJFINANCE,39.29
24,4.99,1.06,45.74,2600.05,4.17,Long Buildup,-0.71,0.54,-52.3,Short Covering,BALKRISIND,16.07
25,21.51,-1.75,7.05,418.25,4.06,Short Buildup,-0.92,-1.04,-95.79,Long Unwinding,BALRAMCHIN,7.54
26,-1.76,0.7,79.91,251.6,4.01,Short Covering,-0.18,0.8,-14.4,Short Covering,BANDHANBNK,26.98
27,17.95,-2.11,33.01,208.55,-0.22,Significant Short Buildup,-0.02,0.41,-83.32,Short Covering,BANKBARODA,23.41
28,9.37,0.78,50.12,1635.4,1.91,Long Buildup,2.35,0.19,-67.29,Long Buildup,BATAINDIA,9.13
29,8.61,-0.64,79.64,138.8,-1.45,Short Buildup,1.85,0.29,-14.33,Long Buildup,BEL,7.54
