calliv,iv,ivchange,ivp,ivpq,ivr,liquidity,putiv,resultdate,spotprice,straddlepremium,ticker,tickerchange,tickerpercentchange
10.25,11.24,2.27,17.87,44.44,10.84,True,12.24,None,19842.05,1.53,NIFTY,-8.05,-0.04
12.15,12.88,-0.85,28.51,73.02,11.51,True,13.61,None,44744.0,1.87,BANKNIFTY,58.45,0.13
31.41,30.72,2.85,42.37,34.92,55.77,True,30.03,None,487.25,4.58,AARTIIND,2.3,0.47
24.14,25.1,-3.28,6.25,4.76,5.32,False,26.07,2023-11-09,4225.5,3.79,ABB,34.95,0.83
24.54,21.63,-1.41,15.45,30.16,19.54,False,18.72,None,22418.05,0.0,ABBOTINDIA,-121.45,-0.54
28.49,27.67,0.4,7.03,11.9,11.43,False,26.86,None,181.6,4.13,ABCAPITAL,2.1,1.17
28.41,29.47,0.34,12.35,14.29,9.34,False,30.53,None,224.15,4.48,ABFRL,1.55,0.7
26.39,25.93,-0.15,7.23,12.7,2.74,True,25.48,None,2034.9,3.77,ACC,-11.15,-0.54
48.06,49.51,2.38,38.96,38.1,9.66,True,50.96,None,2519.0,6.8,ADANIENT,18.7,0.75
34.16,34.36,2.66,34.54,53.97,7.1,True,34.57,None,817.7,5.0,ADANIPORTS,-0.2,-0.02
26.61,26.26,-0.76,28.86,25.4,23.29,False,25.9,None,3593.05,3.95,ALKEM,36.95,1.04
27.39,27.65,-3.05,3.61,11.11,4.42,True,27.9,None,446.9,4.16,AMBUJACEM,0.5,0.11
25.68,26.84,13.01,34.14,63.49,20.76,True,28.01,None,5008.1,3.87,APOLLOHOSP,-106.1,-2.07
30.62,30.11,3.68,49.6,53.17,27.88,False,29.6,None,379.95,4.7,APOLLOTYRE,2.0,0.53
26.23,24.61,3.71,8.84,6.35,10.05,True,22.98,None,175.45,3.51,ASHOKLEY,-1.0,-0.57
24.01,23.96,-1.52,80.72,85.71,32.58,True,23.9,2023-10-26,3177.05,3.6,ASIANPAINT,0.0,0.0
30.48,30.03,3.59,26.31,25.4,37.12,True,29.58,2023-10-18,1935.0,4.69,ASTRAL,-7.1,-0.37
29.34,30.4,1.54,50.2,88.89,34.7,False,31.45,2023-10-20,6923.05,0.0,ATUL,44.2,0.64
31.65,31.04,1.24,46.18,68.25,29.66,True,30.42,None,716.5,4.77,AUBANK,1.8,0.25
29.09,28.66,-0.73,17.67,11.11,12.16,True,28.23,None,919.0,4.37,AUROPHARMA,15.6,1.73
21.01,20.95,1.8,51.2,66.67,26.84,True,20.89,2023-10-25,1020.5,3.13,AXISBANK,-2.0,-0.2
22.57,22.98,-1.92,87.95,77.78,48.14,True,23.4,2023-10-18,5137.95,3.53,BAJAJ-AUTO,50.7,1.0
24.26,24.29,4.34,19.68,46.03,18.57,True,24.32,2023-10-27,1636.05,3.66,BAJAJFINSV,-4.65,-0.28
27.61,27.2,7.77,62.25,87.3,41.48,True,26.79,2023-10-17,8052.2,4.12,BAJFINANCE,-84.1,-1.03
26.67,28.21,4.17,37.5,39.68,28.92,False,29.76,None,2600.05,4.01,BALKRISIND,14.0,0.54
39.28,35.66,4.06,48.99,50.79,39.63,False,32.03,None,418.25,4.41,BALRAMCHIN,-4.4,-1.04
37.51,36.58,3.98,41.37,65.08,34.34,True,35.66,None,251.6,5.54,BANDHANBNK,2.0,0.8
33.29,32.4,-0.22,41.16,55.56,21.43,True,31.5,None,208.55,4.84,BANKBARODA,0.85,0.41
22.87,22.96,1.91,9.68,11.11,20.79,True,23.05,None,1635.4,3.42,BATAINDIA,3.05,0.19
30.25,29.18,-1.45,21.69,9.52,32.14,True,28.11,2023-10-28,138.8,4.36,BEL,0.4,0.29
28.01,26.31,-2.52,46.59,33.33,40.25,True,24.6,None,565.45,3.85,BERGEPAINT,3.3,0.59
25.27,24.98,-2.69,8.03,4.76,20.77,True,24.69,None,1120.35,3.77,BHARATFORG,4.05,0.36
15.37,15.88,-6.26,5.22,6.35,12.89,True,16.39,None,952.5,2.36,BHARTIARTL,-2.2,-0.23
41.98,40.9,-2.32,49.6,34.92,42.12,True,39.82,None,130.7,6.16,BHEL,-0.45,-0.34
32.45,30.92,5.71,36.55,25.4,18.17,True,29.39,2023-11-10,260.25,4.65,BIOCON,1.75,0.68
23.2,23.58,6.99,40.16,65.08,33.74,True,23.97,2023-11-09,20466.45,3.44,BOSCHLTD,751.4,3.81
24.08,23.86,-1.65,42.57,22.22,40.59,True,23.64,None,349.8,3.59,BPCL,5.75,1.67
20.77,20.08,-1.91,50.6,31.75,34.11,True,19.39,None,4562.0,2.94,BRITANNIA,-12.6,-0.28
35.38,35.84,2.28,52.21,73.02,25.79,False,36.29,None,543.4,5.5,BSOFT,1.9,0.35
34.71,34.4,1.5,66.47,83.33,48.96,True,34.1,None,371.15,5.23,CANBK,0.6,0.16
36.27,36.17,4.33,67.47,61.9,34.36,True,36.07,2023-10-17,756.0,5.48,CANFINHOME,-2.75,-0.36
31.75,31.9,4.73,15.26,15.87,18.93,False,32.04,None,293.5,5.11,CHAMBLFERT,7.6,2.66
27.25,26.44,0.27,14.46,9.52,30.65,True,25.64,2023-11-02,1246.35,4.06,CHOLAFIN,-11.75,-0.93
24.26,23.72,0.55,46.99,14.29,51.93,True,23.18,2023-10-27,1164.3,3.56,CIPLA,-9.1,-0.78
25.09,26.34,0.73,77.51,69.84,56.15,True,27.59,None,307.6,3.85,COALINDIA,5.45,1.8
44.98,44.38,6.81,97.59,96.83,76.26,True,43.78,2023-10-19,5083.35,6.92,COFORGE,-55.4,-1.08
25.85,25.83,1.18,96.79,90.48,94.96,True,25.81,None,2051.2,3.89,COLPAL,-2.25,-0.11
31.05,30.66,2.92,57.03,65.08,32.43,True,30.27,2023-11-02,704.8,4.75,CONCOR,3.85,0.55
29.29,28.21,0.46,30.04,26.19,33.33,True,27.13,None,1151.9,4.13,COROMANDEL,0.55,0.05
31.27,30.42,0.43,29.32,30.16,17.69,False,29.57,2023-11-03,302.4,4.56,CROMPTON,1.6,0.53
36.16,35.64,-2.84,39.16,60.32,27.32,False,35.12,None,140.05,5.5,CUB,-1.2,-0.85
26.13,25.91,-5.78,15.66,19.05,17.85,True,25.69,None,1734.0,3.88,CUMMINSIND,-18.3,-1.04
22.39,20.98,9.33,69.08,63.49,47.39,True,19.56,2023-11-02,541.9,3.17,DABUR,-2.7,-0.5
34.3,33.81,9.56,78.74,87.3,45.17,False,33.32,2023-10-14,2309.35,4.93,DALBHARAT,9.7,0.42
34.19,33.76,1.81,66.27,73.02,41.29,True,33.33,None,2093.1,5.01,DEEPAKNTR,-10.3,-0.49
56.41,55.7,-5.75,91.43,69.84,48.17,False,54.99,None,141.5,8.16,DELTACORP,-1.8,-1.26
24.39,23.63,-0.3,22.29,22.22,13.0,True,22.87,None,3756.55,3.54,DIVISLAB,-1.95,-0.05
34.15,35.58,3.46,53.41,55.56,28.18,False,37.02,None,5291.9,5.27,DIXON,29.95,0.57
27.24,28.37,2.49,28.51,52.38,36.67,True,29.51,None,567.25,4.2,DLF,0.9,0.16
22.91,22.65,2.21,56.22,46.03,39.5,True,22.39,2023-10-27,5550.5,3.36,DRREDDY,-25.95,-0.47
23.57,24.34,-3.22,19.28,19.05,20.11,True,25.11,None,3514.25,3.57,EICHERMOT,13.9,0.4
32.67,33.34,2.87,78.83,91.27,44.04,True,34.01,None,3429.55,4.98,ESCORTS,24.5,0.72
25.81,25.83,-3.37,20.08,9.52,30.43,True,25.85,2023-11-06,266.3,4.17,EXIDEIND,2.4,0.91
33.11,32.84,1.8,77.11,95.24,54.47,True,32.57,2023-10-16,150.4,5.09,FEDERALBNK,3.3,2.24
29.09,29.15,1.22,62.25,46.03,48.99,True,29.2,None,130.0,4.5,GAIL,5.85,4.71
33.57,33.67,0.6,65.06,55.56,45.33,False,33.76,None,795.6,5.15,GLENMARK,11.3,1.44
42.97,40.24,6.51,79.92,66.67,46.37,False,37.52,None,59.2,5.91,GMRINFRA,-0.35,-0.59
34.0,33.47,0.78,31.58,52.38,27.99,False,32.94,None,632.0,5.13,GNFC,4.85,0.77
23.28,22.34,2.95,22.89,36.51,27.51,True,21.4,None,979.9,3.27,GODREJCP,-7.45,-0.75
31.0,30.66,-1.1,24.5,36.51,21.26,True,30.33,None,1709.15,4.63,GODREJPROP,-25.45,-1.47
31.69,31.38,1.36,40.16,23.81,36.01,False,31.07,None,357.05,4.68,GRANULES,2.35,0.66
23.59,23.81,4.11,46.59,49.21,43.93,True,24.03,None,2006.0,3.64,GRASIM,23.05,1.16
28.32,28.45,-0.45,16.47,42.86,17.73,True,28.58,2023-11-02,428.7,4.51,GUJGASLTD,5.0,1.18
28.93,28.17,2.29,6.43,6.35,13.52,True,27.41,None,1973.0,4.08,HAL,3.65,0.19
33.98,34.83,7.07,94.38,90.48,53.9,True,35.69,2023-10-19,1394.95,5.41,HAVELLS,2.3,0.17
28.97,31.32,-3.24,96.39,98.41,51.75,True,33.68,2023-10-12,1214.65,4.82,HCLTECH,-20.8,-1.68
29.88,29.34,-13.17,62.65,31.75,42.22,True,28.8,2023-10-12,2752.15,4.44,HDFCAMC,9.2,0.34
19.78,19.88,1.17,72.29,77.78,46.22,True,19.99,2023-10-15,1552.3,2.88,HDFCBANK,10.15,0.66
27.19,27.51,0.0,77.71,84.92,45.59,True,27.84,2023-10-13,627.95,4.21,HDFCLIFE,3.75,0.6
