code,lotsize,contract_step,qty_freeze,Sector,Industry,MktCategory,Mcap,IntraSectorRank,NiftyRank
BANKNIFTY,15,100,1200,Index,,,,,
NIFTY,50,100,1800,Index,,,,,
FINNIFTY,40,100,1800,Index,,,,,
MARUTI,100,100,3000,AUTO,AUTO-PASSENG.CAR,LARGECAP,244207.56,AUTO-1 of 16,NiftyRank-18
TATAMOTORS,2850,10,57000,AUTO,AUTO-LCVS/HCVS,LARGECAP,169302.49,AUTO-2 of 16,NiftyRank-26
M&M,700,10,28000,AUTO,AUTO-PASSENG.CAR,LARGECAP,109550.13,AUTO-3 of 16,NiftyRank-42
BAJAJ-AUTO,250,20,5000,AUTO,AUTO-SCOOTER/3WH,LARGECAP,99333.91,AUTO-4 of 16,NiftyRank-46
EICHERMOT,350,20,10500,AUTO,AUTO-M CYCLE/MOP,LARGECAP,77090.51,AUTO-5 of 16,NiftyRank-60
MOTHERSUMI,3500,2.5,105000,AUTO,AUTO ANCILLARIES,LARGECAP,58595.47,AUTO-6 of 16,NiftyRank-78
BOSCHLTD,50,250,1500,AUTO,AUTO ANCILLARIES,LARGECAP,51572.58,AUTO-7 of 16,NiftyRank-85
HEROMOTOCO,300,20,9000,AUTO,AUTO-M CYCLE/MOP,LARGECAP,51343.95,AUTO-8 of 16,NiftyRank-86
BALKRISIND,200,20,10000,AUTO,TYRES,LARGECAP,48131.15,AUTO-9 of 16,NiftyRank-91
ASHOKLEY,4500,2.5,180000,AUTO,AUTO-LCVS/HCVS,LARGECAP,40436.89,AUTO-10 of 16,NiftyRank-113
MRF,10,500,300,AUTO,TYRES,LARGECAP,32289.79,AUTO-11 of 16,NiftyRank-133
TVSMOTOR,1400,10,42000,AUTO,AUTO-M CYCLE/MOP,LARGECAP,31296.36,AUTO-12 of 16,NiftyRank-135
ESCORTS,550,20,11000,AUTO,AUTO-TRACTORS,LARGECAP,22913.3,AUTO-13 of 16,NiftyRank-158
EXIDEIND,3600,1,108000,AUTO,AUTO ANCILLARIES,MIDCAP,14781.5,AUTO-14 of 16,NiftyRank-174
APOLLOTYRE,2500,2.5,100000,AUTO,TYRES,MIDCAP,14708.94,AUTO-15 of 16,NiftyRank-175
AMARAJABAT,1000,5,30000,AUTO,AUTO ANCILLARIES,MIDCAP,10915.77,AUTO-16 of 16,NiftyRank-181
HDFCBANK,550,10,16500,BANK,BANKS-PVT SECTOR,LARGECAP,856383.86,BANK-1 of 15,NiftyRank-3
ICICIBANK,1375,10,27500,BANK,BANKS-PVT SECTOR,LARGECAP,569354.85,BANK-2 of 15,NiftyRank-5
SBIN,1500,5,45000,BANK,BANKS-PUB SECTOR,LARGECAP,453682.63,BANK-3 of 15,NiftyRank-9
KOTAKBANK,400,20,12000,BANK,BANKS-PVT SECTOR,LARGECAP,384362.06,BANK-4 of 15,NiftyRank-11
AXISBANK,1200,10,36000,BANK,BANKS-PVT SECTOR,LARGECAP,221319.8,BANK-5 of 15,NiftyRank-20
INDUSINDBK,900,10,18000,BANK,BANKS-PVT SECTOR,LARGECAP,71262.34,BANK-6 of 15,NiftyRank-68
BANKBARODA,11700,1,234000,BANK,BANKS-PUB SECTOR,LARGECAP,48403.95,BANK-7 of 15,NiftyRank-90
BANDHANBNK,1800,5,72000,BANK,BANKS-PVT SECTOR,LARGECAP,47765.33,BANK-8 of 15,NiftyRank-93
PNB,16000,1,480000,BANK,BANKS-PUB SECTOR,LARGECAP,44209.23,BANK-9 of 15,NiftyRank-99
CANBK,5400,5,108000,BANK,BANKS-PUB SECTOR,LARGECAP,41298.68,BANK-10 of 15,NiftyRank-111
AUBANK,500,20,20000,BANK,BANKS-PVT SECTOR,LARGECAP,39527.06,BANK-11 of 15,NiftyRank-117
IDFCFIRSTB,11100,1,444000,BANK,BANKS-PVT SECTOR,LARGECAP,30563.58,BANK-12 of 15,NiftyRank-139
FEDERALBNK,10000,1,300000,BANK,BANKS-PVT SECTOR,LARGECAP,20915.18,BANK-13 of 15,NiftyRank-161
CUB,3400,2.5,136000,BANK,BANKS-PVT SECTOR,MIDCAP,10861.31,BANK-14 of 15,NiftyRank-182
RBLBANK,2900,2.5,116000,BANK,BANKS-PVT SECTOR,MIDCAP,9381.4,BANK-15 of 15,NiftyRank-187
HDFC,300,20,9000,FINANCE,FINANCE-HOUSING,LARGECAP,491227.9,FINANCE-1 of 20,NiftyRank-7
BAJFINANCE,125,100,3750,FINANCE,FINANCE & INVEST,LARGECAP,472747.16,FINANCE-2 of 20,NiftyRank-8
