code,lotsize,contract_step,qty_freeze
BANKNIFTY,25,100,1200
NIFTY,50,100,2800
FINNIFTY,40,100,1800
AARTIIND,850,10,25500
ACC,250,20,10000
ABBOTINDIA,25,250,1000
ALKEM,200,50,6000
AMARAJABAT,1000,10,30000
ATUL,75,100,2250
ADANIPORTS,1250,10,37500
APOLLOHOSP,125,50,3750
ASHOKLEY,4500,2.5,180000
AXISBANK,1200,10,36000
BAJFINANCE,125,100,3750
ASIANPAINT,150,20,7500
ASTRAL,275,50,11000
AUBANK,500,20,20000
BAJAJFINSV,75,250,1500
BANDHANBNK,1800,5,72000
BSOFT,1300,10,52000
CANBK,5400,2.5,108000
BATAINDIA,550,20,11000
CHAMBLFERT,1500,5,60000
COALINDIA,4200,2.5,126000
BHARATFORG,750,10,30000
COFORGE,100,100,4000
BHARTIARTL,1886,10,28500
BHEL,10500,1,315000
BOSCHLTD,50,100,1500
BPCL,1800,5,54000
EICHERMOT,350,20,10500
BRITANNIA,200,20,6000
CADILAHC,1100,10,33000
FSL,2600,5,104000
CANFINHOME,975,10,39000
GSPL,1700,5,68000
CIPLA,650,10,26000
HCLTECH,700,10,21000
COLPAL,350,20,14000
HDFCLIFE,1100,5,33000
COROMANDEL,625,10,25000
HINDALCO,1075,10,43000
CROMPTON,1100,10,44000
INDIGO,250,20,10000
CUMMINSIND,600,20,24000
DABUR,1250,5,37500
INDUSTOWER,2800,5,84000
DELTACORP,2300,5,92000
DIVISLAB,100,50,4000
DIXON,125,50,5000
ITC,3200,1,96000
DRREDDY,125,50,5000
EXIDEIND,3600,2.5,108000
FEDERALBNK,10000,1,300000
GAIL,6100,2.5,183000
LAURUSLABS,900,10,45000
GMRINFRA,22500,1,675000
GODREJCP,500,10,20000
GODREJPROP,325,50,9750
GRANULES,1550,5,62000
GRASIM,475,20,14250
MANAPPURAM,3000,2.5,120000
GUJGASLTD,1250,10,37500
HAL,475,20,14250
HAVELLS,500,20,15000
MCDOWELL-N,1250,10,25000
HDFC,300,20,9000
HDFCAMC,200,50,8000
HDFCBANK,550,20,16500
IBULHSGFIN,3100,5,93000
NTPC,5700,1,171000
ICICIBANK,1375,10,27500
IDEA,70000,1,2100000
IDFCFIRSTB,9500,1,444000
IEX,1250,10,75000
IGL,1375,5,41250
INDHOTEL,4022,2.5,120660
INDIAMART,75,100,2250
PFC,6200,2.5,186000
INDUSINDBK,900,20,18000
INFY,300,20,12000
IOC,6500,1,195000
JINDALSTEL,2500,10,50000
RAMCOCEM,850,20,25500
JKCEMENT,175,50,7000
RBLBANK,2900,2.5,116000
L&TFH,8924,1,267720
LICHSGFIN,2000,5,60000
LTTS,200,50,4000
AMBUJACEM,1500,5,60000
LUPIN,850,10,25500
M&M,700,10,28000
M&MFIN,4000,2.5,120000
SBICARD,500,20,20000
MARUTI,100,50,3000
ADANIENT,500,20,15000
MCX,350,20,10500
METROPOLIS,200,50,8000
MGL,600,20,18000
MPHASIS,325,50,7000
MRF,10,500,300
MUTHOOTFIN,375,20,15000
TCS,150,20,6000
NAM-INDIA,1600,5,48000
NATIONALUM,8500,2.5,255000
TVSMOTOR,1400,10,42000
NESTLEIND,25,100,1250
ULTRACEMCO,100,100,3000
WHIRLPOOL,250,20,10000
OBEROIRLTY,700,20,21000
OFSS,125,100,5000
BAJAJ-AUTO,250,50,5000
